n_train,frac,split,fold,Accuracy,Precision,Recall,F1,ROC-AUC,Dataset,Model
10430,0.4,validation,4,0.7101871739797484,0.7437185929648241,0.6881720430107527,0.7148679245283018,0.7832409972953234,OULAD (week-4 features),Neural network (MLP)
15645,0.6,train,4,0.734675615212528,0.7847539847539847,0.6854721549636804,0.7317609046849758,0.8157169414476368,OULAD (week-4 features),Neural network (MLP)
15645,0.6,validation,4,0.716017183185026,0.7648234510326449,0.6672478930543446,0.7127114698121992,0.7944580810065625,OULAD (week-4 features),Neural network (MLP)
20860,0.8,train,4,0.7340364333652925,0.7754484982866358,0.6985654621390956,0.7350019105846389,0.8157197148046504,OULAD (week-4 features),Neural network (MLP)
20860,0.8,validation,4,0.7157103405952746,0.7598167539267016,0.6748038360941587,0.7147914422040942,0.7956427288097221,OULAD (week-4 features),Neural network (MLP)
26075,1.0,train,4,0.7288590604026846,0.7568459001303981,0.71671388101983,0.7362333980002984,0.8069429402130859,OULAD (week-4 features),Neural network (MLP)
26075,1.0,validation,4,0.7198527155569193,0.7511664074650077,0.7018308631211857,0.7256610576923077,0.794344744694373,OULAD (week-4 features),Neural network (MLP)
1303,0.05,train,0,0.9148119723714505,0.9543307086614173,0.8808139534883721,0.9160997732426304,0.9795826243146153,OULAD (full-module features),Random forest
1303,0.05,validation,0,0.8547323209081148,0.894903450459006,0.8213248111563045,0.85653688835025,0.9296782542667694,OULAD (full-module features),Random forest
2607,0.1,train,0,0.9152282316839279,0.9543666404405979,0.8815406976744186,0.9165092557612391,0.979817646836567,OULAD (full-module features),Random forest
2607,0.1,validation,0,0.8596410492406811,0.9004754358161648,0.825392213829169,0.8613005911778081,0.933607993327186,OULAD (full-module features),Random forest
5214,0.2,train,0,0.911584196394323,0.9569377990430622,0.8717762440973483,0.9123740733700817,0.9803107924228203,OULAD (full-module features),Random forest
5214,0.2,validation,0,0.8651633686148182,0.9098177166613367,0.826554328878559,0.8661896787943371,0.9365107316245043,OULAD (full-module features),Random forest
10429,0.4,train,0,0.9133186307412025,0.959832134292566,0.8723211042499092,0.9139866793529972,0.9790933296854376,OULAD (full-module features),Random forest
10429,0.4,validation,0,0.8648565730940329,0.9116039858566377,0.8239395700174317,0.8655577598046696,0.9383988381115573,OULAD (full-module features),Random forest
15644,0.6,train,0,0.9133853234466889,0.9592868547099521,0.8729870444363724,0.9141045958795563,0.9798663004262065,OULAD (full-module features),Random forest
15644,0.6,validation,0,0.8686915171038503,0.9152215799614644,0.8280069726902963,0.8694325808419768,0.9407007852113399,OULAD (full-module features),Random forest
20859,0.8,train,0,0.912747495086054,0.960432735650606,0.8706074639062925,0.9133168222518575,0.980659276253929,OULAD (full-module features),Random forest
20859,0.8,validation,0,0.8700720969473845,0.9176054071451561,0.8282975014526438,0.8706672774469385,0.9411756208128499,OULAD (full-module features),Random forest
26074,1.0,train,0,0.9137838459768352,0.960572616762636,0.8725119860525934,0.9144271031594975,0.980186089837802,OULAD (full-module features),Random forest
26074,1.0,validation,0,0.867310937260316,0.914441942746864,0.825973271353864,0.8679590902152343,0.9412642807114018,OULAD (full-module features),Random forest
1303,0.05,train,1,0.9056024558710668,0.9420970266040689,0.875,0.9073097211755841,0.976571658158442,OULAD (full-module features),Random forest
1303,0.05,validation,1,0.8576250383553237,0.8940106616494199,0.8285382156349899,0.8600301659125189,0.9357968680832383,OULAD (full-module features),Random forest
2607,0.1,train,1,0.9117759877253548,0.9547619047619048,0.8742732558139535,0.9127465857359636,0.9784887263143973,OULAD (full-module features),Random forest
2607,0.1,validation,1,0.8668303160478674,0.9057079785556607,0.8346410927056088,0.868723532970357,0.939068604075366,OULAD (full-module features),Random forest
5215,0.2,train,1,0.9096836049856184,0.9564,0.8685070831819833,0.9103369503141062,0.978903156529927,OULAD (full-module features),Random forest
5215,0.2,validation,1,0.8746548020865296,0.9183673469387755,0.8369659982563208,0.875779230652273,0.9438531909413687,OULAD (full-module features),Random forest
10430,0.4,train,1,0.9133269415148609,0.9596564809267026,0.8725258761576176,0.9140194027011603,0.9800168647655093,OULAD (full-module features),Random forest
10430,0.4,validation,1,0.877262964099417,0.9231015700096123,0.8372566114501598,0.878085949405669,0.9471812173018836,OULAD (full-module features),Random forest
15645,0.6,train,1,0.912751677852349,0.9597279637284971,0.8713075060532688,0.9133828288596992,0.9797086808054414,OULAD (full-module features),Random forest
15645,0.6,validation,1,0.8787971770481743,0.9249759538313562,0.8384190642255158,0.8795731707317073,0.9480205671405729,OULAD (full-module features),Random forest
20860,0.8,train,1,0.912464046021093,0.9603206412825651,0.8701652442346105,0.913022768410022,0.9797359313452593,OULAD (full-module features),Random forest
20860,0.8,validation,1,0.8800245474071802,0.9248961329498242,0.8410345829700668,0.8809741248097412,0.948523213685133,OULAD (full-module features),Random forest
26075,1.0,train,1,0.9124832214765101,0.9608378139796164,0.8696883852691218,0.9129937471404606,0.9796964737118588,OULAD (full-module features),Random forest
26075,1.0,validation,1,0.8803313899969316,0.9276759884281581,0.8387096774193549,0.8809523809523809,0.9483368698985083,OULAD (full-module features),Random forest
1303,0.05,train,2,0.8971603990790483,0.9382911392405063,0.8619186046511628,0.8984848484848484,0.9764322178105502,OULAD (full-module features),Random forest
1303,0.05,validation,2,0.8488800245474072,0.8783117683302526,0.8285382156349899,0.8526992672349335,0.9283120435793233,OULAD (full-module features),Random forest
2607,0.1,train,2,0.9071729957805907,0.9536,0.8662790697674418,0.9078446306169079,0.9780494918104018,OULAD (full-module features),Random forest
2607,0.1,validation,2,0.8643755753298558,0.909907021481244,0.8247602441150829,0.8652439024390244,0.9356480197265629,OULAD (full-module features),Random forest
5215,0.2,train,2,0.9081495685522532,0.950832672482157,0.8710497638939338,0.9091943127962085,0.9790658916364188,OULAD (full-module features),Random forest
5215,0.2,validation,2,0.8651426818042345,0.9116323907455013,0.8244696309212438,0.8658629635281551,0.9374205052022784,OULAD (full-module features),Random forest
10430,0.4,train,2,0.9119846596356663,0.9564352496518799,0.8730706373706192,0.9128536168596925,0.9797489288557495,OULAD (full-module features),Random forest
